STU_ID,SCHOOL,S1FRNDCLG,X1TXMSCR,X1HHNUMBER,X1SES,X1PAREDU,X1PARENTBA,X1POVERTY,S2ANYDUAL,X1SEX,X1RACE,X2STUEDEXPCT,X2STUEDEXPCT_BA
24651,2,0,28.3259,4,0.2246,4,1,0,0,0,5,9,1
26199,2,0,29.1557,3,0.0101,2,0,0,1,1,5,1,0
18248,2,1,29.2724,6,-0.6553,2,0,0,0,0,5,5,0
20865,2,0,29.5995,3,-1.7526,1,0,1,0,0,5,1,0
33050,2,0,30.3624,5,-0.2634,3,0,0,0,1,5,4,0
22904,2,1,30.4613,5,-0.8201,2,0,1,0,1,5,7,1
22806,2,0,31.2411,5,-1.1153,1,0,1,3,1,5,12,1
24688,2,0,31.4046,6,-0.3747,3,0,0,1,0,5,11,1
12685,2,0,31.5522,6,-1.5209,2,0,1,0,1,5,1,0
29999,2,0,31.5983,6,-0.5465,2,0,1,0,1,5,1,0
11956,2,1,32.0807,3,-0.5402,2,0,0,3,0,5,1,0
25469,2,1,32.1316,3,-0.5386,2,0,0,0,1,5,7,1
16446,2,0,32.307,5,-0.0036,2,0,0,0,0,5,7,1
30849,2,0,32.8655,5,-0.9668,1,0,0,1,0,5,7,1
21646,2,0,32.9409,5,-1.0635,1,0,1,0,1,5,12,1
25622,2,0,32.9779,3,-0.3332,2,0,0,3,0,5,7,1
23483,2,0,33.3396,6,-0.28,2,0,0,0,0,5,7,1
10656,2,0,33.367,4,-0.7147,1,0,0,0,0,5,5,0
24314,2,1,33.7671,4,-0.2903,3,0,0,3,0,5,7,1
14967,2,1,33.9136,5,1.5122,5,1,0,0,1,5,9,1
13697,2,1,34.1068,5,-0.4169,2,0,0,0,1,5,7,1
22813,2,1,34.7871,8,-1.2268,1,0,1,0,0,5,5,0
25252,2,0,35.1716,4,-0.6363,2,0,0,1,1,5,7,1
21570,2,0,35.2241,4,-0.4295,2,0,0,0,0,5,7,1
31517,2,1,35.322,5,0.9351,5,1,0,0,1,5,7,1
17264,2,0,35.4456,5,-0.3552,1,0,0,1,1,5,3,0
13115,2,1,35.8005,4,0.7605,5,1,0,3,1,5,7,1
17390,2,0,35.9102,4,-1.5696,1,0,1,0,0,5,12,1
32404,2,0,36.0461,5,-0.3362,2,0,0,0,0,5,9,1
29823,2,0,36.469,5,-0.7751,2,0,1,0,0,4,3,0
32030,2,0,36.597,4,1.2394,5,1,0,0,0,5,1,0
23399,2,0,36.6404,5,-0.6553,2,0,0,0,0,5,5,0
10717,2,0,36.9019,3,-0.4399,4,1,0,1,0,5,7,1
16856,2,0,37.2293,5,-1.3178,1,0,1,0,1,5,7,1
14332,2,0,37.2992,4,-0.2315,2,0,0,0,0,5,1,0
19649,2,0,37.759,3,-0.6305,2,0,0,3,0,5,3,0
17472,2,1,38.1453,5,-1.0089,1,0,1,1,0,5,10,1
17081,2,0,38.4691,7,-0.8507,1,0,0,0,0,5,5,0
18982,2,1,38.5927,5,-0.1734,4,1,0,3,0,5,9,1
21498,2,0,38.6628,4,0.0603,2,0,0,1,1,5,7,1
29792,2,1,38.9746,3,-0.2591,3,0,1,0,1,5,5,0
31225,2,1,39.0943,4,1.5573,7,1,0,1,1,5,9,1
25930,2,1,39.5334,4,-1.4767,1,0,1,0,0,5,3,0
